athlete,engine,errors,key_output,scope,skipped,status,successes,warning
davide,metabolic_kalman,0,"{""date"": ""2026-04-26"", ""vo2max"": 43.5, ""vo2max_std"": 5.29, ""vo2max_ci95"": [33.1, 53.9], ""vlamax"": 0.4964, ""vlamax_std"": 0.1539, ""mlss_watts"": null, ""fatmax_watts"": null, ""map_watts"": null, ""observation_applied"": false, ""stimulus_applied"": {""vo2max_min"": 0.1, ""vlamax_min"": 0.0, ""vo2_decay"": -0.128, ""vla_decay"": -0.0007, ""vo2_adapt"": 0.001, ""vla_adapt"": 0.0}}",athlete,0,success,0,
davide,training_variability_engine,0,"{""acwr"": 1.61, ""monotony"": 1.89}",athlete,0,success,0,
davide,detraining_engine,0,"{""ctl"": 32.8, ""atl"": 52.9, ""tsb"": -20.1, ""days_since_last_workout"": 0, ""status"": ""MAINTAINING""}",athlete,0,success,0,
davide,metabolic_current,0,"{""current_vo2max"": 43.0, ""current_mlss_watts"": 200.0}",athlete,0,success,0,
davide,chart_builder_training_load,0,line_multi,athlete,0,success,0,
davide,neural_ode,0,"{""pd_points"": 5, ""delta"": [0.0, 0.0]}",athlete,0,success,0,
davide,hrv_engine,0,,activity,19,skipped_no_rr,0,
davide,cardiac_engine,0,,activity,7,success,12,
davide,thermal_engine,0,,activity,19,skipped_no_body_temperature,0,
davide,pedaling_balance,0,,activity,19,skipped_no_balance,0,
davide,heat_acclimation,0,"{""n_sessions"": 0, ""notes"": [""Only 0 sessions with thermal data. Need \u22653 for trend.""], ""tier"": ""MODEL""}",athlete,0,skipped_no_body_temperature,0,
omar,fit_parser,0,,activity,0,success,29,
omar,data_quality_engine,0,,activity,0,success,29,
omar,power_engine,0,,activity,0,success,29,
omar,interval_detector,0,,activity,0,success,29,
omar,durability_engine,0,,activity,0,success,29,
omar,np_drift,0,,activity,0,success,29,
omar,hourly_decay_curve,0,,activity,0,success,29,
omar,zones_engine,0,,activity,0,success,29,
omar,workout_summary,0,,activity,0,success,29,
omar,mmp_quality,0,,athlete,0,success,0,
omar,mmp_aggregator,0,"{""mmp_points"": 21}",athlete,0,success,29,
omar,metabolic_profiler,0,"{""vo2max"": 56.4, ""vlamax"": 0.4984, ""mlss"": 290.0}",athlete,0,success,0,
omar,coggan_classifier,0,"{""phenotype_code"": ""PURSUITER"", ""phenotype_description"": ""Pursuiter / GC type. Strongest at VO\u2082max-range efforts (3\u20138 min). Suited to short climbs, breakaways, prologue TTs."", ""average_tier_score"": 1.2, ""n_durations_used"": 4}",athlete,0,success,0,
omar,efforts_analyzer,0,"{""efforts"": 9}",athlete,0,success,0,
omar,chart_builder,0,line_scatter,athlete,0,success,0,
omar,metabolic_flexibility_engine,0,"{""mfi"": 0.56, ""fat_ox"": 0.16}",athlete,0,success,0,
omar,cross_validation_engine,0,"{""tier"": ""MODEL"", ""coherent"": false, ""checks_performed"": [""aerobic_floor"", ""threshold_band""], ""warnings"": [""Model MLSS (290W) exceeds sustained power (245W) by 18%. The long effort may have been sub-maximal, or VO2max is overestimated.""], ""threshold_coherence"": {""observed_watts"": 245.3, ""predicted_watts"": 290.0, ""error_watts"": 44.7, ""error_pct"": 18.2}, ""coherence_penalty"": 0.25, ""suspected_outlier"": ""submaximal_long_effort""}",athlete,0,warning,0,
omar,bayesian_profiler,0,"{""confidence"": 0.423}",athlete,0,success,0,
omar,metabolic_kalman,0,"{""date"": ""2026-05-24"", ""vo2max"": 31.9, ""vo2max_std"": 3.53, ""vo2max_ci95"": [24.9, 38.8], ""vlamax"": 1.032, ""vlamax_std"": 0.1511, ""mlss_watts"": null, ""fatmax_watts"": null, ""map_watts"": null, ""observation_applied"": true, ""stimulus_applied"": {""vo2max_min"": 3.5, ""vlamax_min"": 1.8, ""vo2_decay"": -0.028, ""vla_decay"": -0.0006, ""vo2_adapt"": 0.022, ""vla_adapt"": 0.0003}}",athlete,0,success,0,
omar,training_variability_engine,0,"{""acwr"": 1.91, ""monotony"": 1.17}",athlete,0,success,0,
omar,detraining_engine,0,"{""ctl"": 62.9, ""atl"": 120.2, ""tsb"": -57.3, ""days_since_last_workout"": 0, ""status"": ""IMPROVING""}",athlete,0,success,0,
omar,metabolic_current,0,"{""current_vo2max"": 52.4, ""current_mlss_watts"": 260.0}",athlete,0,success,0,
omar,chart_builder_training_load,0,line_multi,athlete,0,success,0,
omar,neural_ode,0,"{""pd_points"": 5, ""delta"": [0.0, 0.0]}",athlete,0,success,0,
omar,hrv_engine,0,,activity,29,skipped_no_rr,0,
omar,cardiac_engine,0,,activity,0,success,29,
omar,thermal_engine,0,,activity,29,skipped_no_body_temperature,0,
omar,pedaling_balance,0,,activity,7,success,22,
omar,heat_acclimation,0,"{""n_sessions"": 0, ""notes"": [""Only 0 sessions with thermal data. Need \u22653 for trend.""], ""tier"": ""MODEL""}",athlete,0,skipped_no_body_temperature,0,
